Reference Handle,Token,Item Name,Variation Name,Unit and Precision,SKU,Description,Category,GTIN,Square Online Item Visibility,Item Type,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Archived,Skip Detail Screen in POS,Default Unit Cost,Current Quantity MacGillivray LLC,Stock Alert Enabled MacGillivray LLC,Stock Alert Count MacGillivray LLC,Modifier Set - Woven Basket,Tax - Sales Tax (6.25%)
#acor-tuna-in-olive-oil-regular,6FBEEHAVB7K2PCAVEAMJQ36W,Acor Tuna In Olive Oil,Regular,NA,5601943001540,NA,Tinned Fish,NA,visible,Prepared food and beverage,NA,NA,Y,Y,10.00,N,N,4.8,8,NA,NA,N,N
#ac-r-tuna-belly-in-olive-oil-regular,7JQGVCTDSFRHFT7TXLBMDBNF,Acôr Tuna Belly in Olive Oil,Regular,NA,5601943002592,NA,FOOD,NA,visible,Prepared food and beverage,NA,NA,NA,NA,12.00,N,NA,7.2,4,NA,NA,N,N
#adirondack-bacon-horseradish-spread-regular,HF52CX4R2EWVMWBEFR5PLGZF,Adirondack Bacon Horseradish Spread,Regular,NA,827912066357,NA,FOOD,NA,visible,Prepared food and beverage,N,N,Y,Y,7.00,N,N,4.5,0,N,6,N,N
#adirondack-cheddar-cheese-spread-regular,SV6E75EQ6EPYIECNRFNDLI7F,Adirondack Cheddar Cheese Spread,Regular,NA,827912031218,NA,FOOD,NA,visible,Prepared food and beverage,N,N,Y,Y,7.00,N,Y,4.5,0,N,6,N,N
#adirondack-dill-spread-regular,FLGWQXRAQGXMI27JPFBEFPWR,Adirondack Dill Spread,Regular,NA,827912066395,NA,FOOD,NA,visible,Prepared food and beverage,N,N,N,Y,7.00,N,N,4.75,0,N,6,N,N
#adirondack-garlic-herb-cheese-spread-regular,T2YVEOR5VLZW4Q4V7F7EMOLO,Adirondack Garlic & Herb Cheese Spread,Regular,NA,NA,NA,FOOD,827912066388,visible,Prepared food and beverage,NA,NA,Y,Y,7.00,N,N,4.5,0,N,6,N,N
#adirondack-hickory-smoked-cheese-regular,X4APW4PKWT4O56OW7P5IJOEK,Adirondack Hickory Smoked Cheese,Regular,NA,AHSC,NA,FOOD,NA,visible,Physical good,NA,NA,NA,NA,13.00,N,NA,8.6,0,NA,NA,N,N
#adirondack-horseradish-cheddar-bars-ahc--regular,ZHCBUXYWSZP4E3VDX43SXP4O,Adirondack Horseradish Cheddar Bars (AHC),Regular,NA,N558211,NA,FOOD,NA,visible,Prepared food and beverage,NA,NA,N,Y,13.00,N,N,8.25,0,N,6,N,N
#adirondack-horseradish-cheddar-spread-regular,PR7ZEKERTWZ6NJGWT6F6CTYS,Adirondack Horseradish Cheddar Spread,Regular,NA,827912031225,NA,FOOD,NA,visible,Prepared food and beverage,N,N,N,Y,7.00,N,N,4.25,10,N,6,N,N
#adirondack-jalapeno-horseradish-spread-regular,S5E663NRE4CVC655CHDP2ESB,Adirondack Jalapeno Horseradish Spread,Regular,NA,NA,NA,FOOD,827912066449,visible,Prepared food and beverage,NA,NA,N,Y,7.00,N,N,4.5,0,N,6,N,N
#adirondack-port-wine-spread-regular,UEVQR5KK5US5TVS6GLL334PV,Adirondack Port Wine Spread,Regular,NA,827912066425,NA,FOOD,NA,NA,Prepared food and beverage,NA,NA,NA,NA,7.00,N,NA,4.75,0,NA,NA,N,N
#adirondack-smokehouse-bacon-cheddar-spread-regular,6VUTTTUO4PSBQMZBORMG5BML,Adirondack Smokehouse Bacon Cheddar Spread,Regular,NA,626570617549,NA,FOOD,NA,visible,Prepared food and beverage,N,N,N,Y,7.00,N,N,4.75,0,N,6,N,N
#aedes-etna-bianco-i-custodi-regular,QLC6MT3W6HHTA4KEGRNQUYJ5,Aedes Etna Bianco I Custodi,Regular,NA,NA,NA,Wine,8057592360007,visible,Physical good,N,N,N,N,26.00,N,N,18,1,NA,NA,N,N
#aeronaut-double-hop-hop-india-pale-ale-four-pack-can-regular,ARKZUMSTRRYAVUQB2TL6ZX6T,Aeronaut - Double Hop Hop India Pale Ale - Four Pack Can,Regular,NA,4077251,Aeronaut Brewing Co double ipa,Beer,650003990060,visible,Prepared food and beverage,NA,NA,N,Y,19.00,N,N,13.3,1,N,4,N,N
#aeronaut-hop-hop-away-four-pack-can-regular,5J44VU2MEZUPUEX2EJ7A3D5G,Aeronaut - Hop Hop & Away - Four Pack Can,Regular,NA,H544088,Aeronaut Brewing Co,Beer,647923996067,visible,Prepared food and beverage,NA,NA,N,Y,17.00,N,N,11.19,2,N,4,N,N
#aeronaut-kaleido-bot-yuzu-rice-lager-4pk-cans-or-aeronaut-mechanical-luchador-lager-regular,JRRAXFJSLGDRXVJDCVMITYF2,Aeronaut - Kaleido-Bot Yuzu Rice Lager - 4pk Cans Or  Aeronaut Mechanical Luchador Lager,Regular,NA,NA,NA,Beer,684753718926,hidden,Prepared food and beverage,NA,NA,Y,Y,16.00,N,N,11.19,-1,N,0,N,N
#aeronaut-robot-crush-american-pilsner-four-pack-can-regular,C3WYZFPKAAJLCGQV4PWKCYDJ,Aeronaut - Robot Crush - American Pilsner - Four  Pack Can,Regular,NA,NA,Aeronaut Brewing Co,Beer,650003990053,visible,Prepared food and beverage,NA,NA,Y,Y,13.00,N,N,9.29,8,N,4,N,N
#aeronaut-brewing-co-boreal-kingdom-ipa-4pk-cans-regular,47YYZPLUO6FTYCQJF4YLONMT,Aeronaut Brewing Co Boreal Kingdom IPA 4pk Cans,Regular,NA,NA,NA,Beer,684753718742,hidden,Prepared food and beverage,NA,NA,Y,Y,18.00,N,NA,12.66,0,N,0,N,N
#aeronaut-brewing-co-ipa-citra-galaxy-4pk-regular,GJOQTJLNVK6M7XXEUGL3S2QQ,"Aeronaut Brewing Co, IPA Citra Galaxy, 4pk",Regular,NA,684753718582,NA,Beer,684753718582,visible,Physical good,N,N,N,N,16.00,N,N,11.25,0,NA,NA,N,N
#aeronaut-brewing-co-ipa-year-with-dr-nandu-4pk-regular,QFIUVXSVU4XGM4SD2MO7AL7B,"Aeronaut Brewing Co, IPA Year with Dr Nandu, 4pk",Regular,NA,NA,NA,Beer,641022531549,NA,Physical good,N,N,N,N,18.00,N,N,12.12,4,NA,NA,N,N
#aeronaut-dream-atlas-regular,WJOISBECWXXTZDDH5CFTYV6U,Aeronaut Dream Atlas,Regular,NA,684753718681,NA,Beer,NA,visible,Prepared food and beverage,NA,NA,NA,NA,20.00,N,NA,13.41,0,NA,NA,N,N
#aeronaut-hefeweizen-wheat-ale-regular,JAO4ITS2LHGZO4KLLZS4LNGT,Aeronaut Hefeweizen Wheat Ale,Regular,NA,NA,NA,Beer,763571926130,visible,Prepared food and beverage,NA,NA,NA,NA,14.00,N,NA,9.08,4,NA,NA,N,N
#aeronaut-inverted-circus-regular,TW5WMOF4N6HLYLLID5S3DF2R,Aeronaut Inverted Circus,Regular,NA,NA,NA,Beer,763571926116,hidden,Prepared food and beverage,NA,NA,Y,Y,16.00,N,NA,11.25,0,N,0,N,N
#aeronaut-solar-glare-double-ipa-regular,IBH46YQALZLAHQCGNVO4AA4T,Aeronaut Solar Glare Double IPA,Regular,NA,684753718735,NA,Beer,NA,visible,Prepared food and beverage,NA,NA,NA,NA,21.00,N,NA,14.75,0,NA,NA,N,N
#agostino-recca-anchovies-fillet-3oz-regular,6M2FYOYIL7N6CXMDUDIZAGVN,Agostino Recca Anchovies Fillet 3oz,Regular,NA,NA,NA,Tinned Fish,80410065,visible,Physical good,NA,NA,NA,NA,12.00,N,NA,4.99,1,NA,NA,N,N
#agostino-recca-fillets-of-anchovies-in-olive-oil-44-with-hot-pepper-regular,DVFBUNQSXM6KHE7NVEKUC6RJ,Agostino Recca Fillets of Anchovies in Olive Oil 44% with Hot Pepper,Regular,NA,NA,Boston,Tinned Fish,80538783,visible,Prepared food and beverage,NA,NA,NA,NA,12.00,N,NA,4.99,1,NA,NA,N,N
#agostino-recca-fillets-of-anchovies-in-pure-olive-oil-w-hot-pepper-8-1-oz-regular,2GBMDE7IJPGVGD7EKQJAWEFA,Agostino Recca Fillets of Anchovies in Pure Olive Oil w/ Hot Pepper 8.1 oz,Regular,NA,8 012464 000146,NA,Tinned Fish,8012464000146,visible,Physical good,NA,NA,NA,NA,22.00,N,NA,5.99,1,NA,NA,N,N
#agricola-brandini-barbera-d-alba-discontinued-regular,MAD4ROQ2DOWRHVH5JXHWESNL,Agricola Brandini (Barbera D`Alba) DISCONTINUED,Regular,NA,NA,Bin 179,Wine,8032973700498,hidden,Prepared food and beverage,N,N,Y,Y,20.00,N,N,14,0,N,5,N,N
#aisna-brunello-di-montalcino-regular,34F4UOHX6KAR3SL5TVBSSNLR,Aisna Brunello Di Montalcino,Regular,NA,NA,"Indulge in the exquisite taste of Aisna Brunello Di Montalcino wine. Crafted with utmost precision and care, this wine offers a rich and complex flavor profile that will captivate your senses. Experience the essence of Italian winemaking tradition with every sip of Aisna Brunello Di Montalcino.",Wine,8053853130150,unavailable,Prepared food and beverage,N,N,N,N,57.00,N,N,38,0,NA,NA,N,N
#alamos-malbec-regular,4TCUVATAT7DJ3IL5VDCOZLGT,Alamos Malbec,Regular,NA,9445826,"Bin 56

Iconic - the world's most awarded Malbecs come from Alamos, Mendoza Argentina. Winemaker Lucia Vaieretti has four young daughters - the next generation in a 100-year old family business.

The winemaker says, ""Our 2020 Malbec is a robust symphony of dark fruit that captures the complexity of Mendoza’s iconic varietal. The color shows inky purple with a halo of black tulip. Pronounced notes of black cherry and blackberry integrate with finely grained spice and vanilla oak. Notes of wild berries and round tannins fill out the palate, leading to a long and velvety smooth finish with a touch of dried herbs. Delicious with wood-fired meat. A warm growing season during 2020 accelerated ripening and led to the earliest harvest on record. As a result, the berries harvested were small with expressive, concentrated flavors and ideal acidity.""",Wine,085000018194,visible,Prepared food and beverage,N,N,Y,Y,15.00,N,N,9.33,28,Y,12,N,N
#alaska-smokehouse-chipotle-salmon-regular,ZJKZXU3H5O7WQXBCDKSD7JGD,Alaska Smokehouse Chipotle Salmon,Regular,NA,NA,NA,FOOD,023882830473,visible,Prepared food and beverage,NA,NA,NA,NA,8.00,N,NA,2.95,3,NA,NA,N,N
#alaska-smokehouse-dill-salmon-regular,N3IA3LGFV4N6NMVWHMYQ3L64,Alaska Smokehouse Dill Salmon,Regular,NA,NA,NA,FOOD,023882830480,visible,Prepared food and beverage,NA,NA,NA,NA,8.00,N,NA,2.95,0,NA,NA,N,N
#alaska-smokehouse-pepper-garlic-salmon-spread-serving-design-regular,2WLRX3H7A3FJNWB5EKKNS7YH,Alaska Smokehouse Pepper Garlic Salmon Spread Serving Design,Regular,NA,NA,NA,FOOD,023882830497,visible,Prepared food and beverage,NA,NA,NA,NA,8.00,N,NA,2.95,0,NA,NA,N,N
#alaska-smokehouse-smoked-salmon-spread-regular,W3GOQDTWKLM3TZOKNP5GFN3T,Alaska Smokehouse Smoked Salmon Spread,Regular,NA,NA,NA,FOOD,023882830022,visible,Prepared food and beverage,NA,NA,NA,NA,8.00,N,NA,2.75,9,NA,NA,N,N
#alaska-smokehouse-spread-s-regular,4KSXX5BLKNSGO3OML3UW5CPF,Alaska Smokehouse Spread S,Regular,NA,NA,NA,FOOD,023882830435,visible,Prepared food and beverage,NA,NA,NA,NA,8.00,N,NA,2.95,0,NA,NA,N,N
#alaskan-sockeye-fillets-regular,RTEUMLLQJYZIUOPBUKMTDTXJ,Alaskan Sockeye Fillets,Regular,NA,6604548,NA,FOOD,NA,visible,Prepared food and beverage,N,NA,N,Y,26.00,N,N,12,15,NA,NA,N,N
#alaskan-sockeye-portions-regular,EFFYELS4VOD7J3JDREV7ZLZB,Alaskan Sockeye Portions,Regular,NA,E288005,NA,FOOD,NA,hidden,Prepared food and beverage,NA,NA,N,Y,15.00,N,N,12.85,0,NA,NA,N,N
#alcohol-free-tost-beverage-cheese-and-crackers-regular,2UPHUYVISQJ47KW3KRHDKFG2,"Alcohol-Free Tost Beverage, Cheese and Crackers",Regular,NA,NA,"We are delighted to offer you a delightful arrival amenity, carefully selected to enhance your stay and provide a warm welcome.
Quench your thirst with the refreshing Alcohol-Free Tost Beverage, a premium choice for those seeking a non-alcoholic option that doesn't compromise on taste. This invigorating beverage will awaken your senses and set the tone for a memorable experience.
Indulge in the creamy and luxurious Four Fat Fowl St. Stephens Cheese, a true culinary masterpiece. Crafted with meticulous attention to detail, this artisanal cheese boasts a velvety texture and a rich, decadent flavor that will tantalize your taste buds and leave you craving for more.
Complementing the cheese, we present the delightful Effie's Rye Biscuits. These handmade biscuits are the perfect accompaniment, providing a delicate and buttery crunch that perfectly balances the richness of the cheese.
With this arrival amenity, we invite you to relax, unwind, and savor the exceptional flavors and textures. Whether enjoyed in the co",Alcohol-Free,NA,hidden,Prepared food and beverage,N,N,Y,Y,60.00,N,N,NA,0,NA,NA,Y,N
#alegre-valga-n-rioja-tinto-tempranillo-garnacha--regular,J7AMFXPMI5ZLRJB4FRRPYBIP,Alegre Valgañón Rioja Tinto (Tempranillo/Garnacha),Regular,NA,NA,"Bin 44
Introducing the Alegre Valgañón Rioja Tinto, the wine that's as lively as its name! This bottle packs a punch of Tempranillo and Garnacha grapes, grown in the heart of Spain's famous Rioja region. It's crafted by winemaker Juan Carlos Sancha, whose passion for creating bold, complex wines is as big as his handlebar mustache.
One sip of this Alegre Valgañón Rioja Tinto and you'll feel like you're transported to a colorful Spanish fiesta. The flavors burst with juicy blackberry, cherry, and plum, and are perfectly balanced with a hint of spice. The smooth tannins and refreshing acidity make this wine a perfect match for any tapas or charcuterie board.
So, whether you're savoring it with friends or enjoying a cozy night in, the Alegre Valgañón Rioja Tinto is sure to bring a little bit of joy to your glass.",Wine,843701643806,visible,Prepared food and beverage,N,N,N,Y,22.00,N,N,15.33,16,Y,5,N,N
#alessandro-rivetto-barbera-d-alba-regular,VNNDC6DMSNRSR3WW6DJ4H4D2,Alessandro Rivetto Barbera D'Alba,Regular,NA,716146115002,Bin 175,Wine,NA,unavailable,Physical good,N,N,N,N,24.00,N,N,13.83,47,NA,NA,N,N
#alessandro-rivetto-barolo-nebbiolo--regular,3OH2F36K6GJLVJJR2GJIYSIJ,Alessandro Rivetto Barolo (Nebbiolo),Regular,NA,NA,"Bin 119
Hold on to your hats, wine lovers! We've got a real winner here with the Alessandro Rivetto Barolo. It's like taking a stroll through the rolling hills of Piedmont, Italy, where the sun shines bright and the grapes grow plump and juicy. And let's not forget about the winemaker himself - Alessandro Rivetto - who's a true legend in the region.
This Barolo is made from the famed Nebbiolo grape, which gives it a full-bodied flavor with just the right amount of acidity. It's like biting into a juicy black cherry while simultaneously savoring the flavors of dark chocolate and leather. It's complex, it's smooth, and it's downright delicious.
So whether you're sipping it while enjoying a homemade Italian feast or just kicking back with some friends, the Alessandro Rivetto Barolo is the perfect wine to bring a little bit of Piedmont to your palate. Cheers to that!",Wine,716146117013,visible,Prepared food and beverage,N,N,N,Y,45.00,N,N,31.42,4,Y,12,N,N
#alexandr-czech-style-pilsner-regular,CEXIANFGMCBQPBPWHVQRJ4IY,Alexandr - Czech-style Pilsner,Regular,NA,NA,NA,Beer,616576227248,hidden,Prepared food and beverage,NA,NA,NA,Y,16.00,N,NA,10.5,4,N,0,N,N
#alphonse-mellot-satellite-sancerre-dsc-regular,KQO66B5DVL4CBBPZZFZXWGPP,Alphonse Mellot 'Satellite' Sancerre DSC,Regular,NA,6275291,"Attention all Sauvignon Blanc fans - we've got a wine that's out of this world! The Alphonse Mellot 'Satellite' Sancerre is like a blast of zesty citrus flavors that will have your taste buds doing somersaults. And the winemaker - Alphonse Mellot - is like a mad scientist, combining the perfect blend of fruity and floral notes to create a wine that's simply out of this world.
With each sip, you'll be transported to the rolling hills of the Loire Valley, where the grapes are kissed by the sun and the soil is rich with minerals. The wine is light, crisp, and refreshing, with hints of grapefruit, lemon, and a touch of honeydew melon. It's like a taste of summer in a glass!
So whether you're enjoying it with a light salad, some fresh seafood, or just on its own, the Alphonse Mellot 'Satellite' Sancerre is the perfect wine to take your taste buds on a journey to the stars. So buckle up, wine lovers, and get ready for liftoff!",Wine,3273390117536,unavailable,Prepared food and beverage,N,N,N,Y,65.00,Y,N,44.67,0,Y,5,N,N
#alvaro-palacios-camins-del-priorat-garnacha-sama-cabernet-sauvignon-syrah--regular,3TRPVPGTHQ55OTSAREIJQVQO,Alvaro Palacios Camins Del Priorat (Garnacha/Samaó/Cabernet Sauvignon/Syrah),Regular,NA,7576143,"Bin 256
A layered and very dense red blend, with notes of crushed raspberry and slate, and hints of black tea. Full bodied, ripe yet tight tannins with a long finish. Alvaro Palacios traveled his native Spain searching for the right spot to make wine, after studying Oenology in Bordeaux and gaining experience at Chateau Petrus. He settled on Priorat and acquired his first vineyard, Finca Dofi, in 1990. Today, he is one of the most esteemed winemakers in Spain.
Pair with red meats, stews, and grilled foods.

Garnacha, Samso, Cabernet Sauvignon, Syrah
Priorat, Spain",Wine,8429073022016,visible,Prepared food and beverage,N,N,N,Y,29.00,N,N,20,7,Y,5,N,N
#amaro-falso-regular,23RDM6KL2VULCVJBHJN3OMZN,Amaro Falso,Regular,NA,051497327149,NA,Alcohol-Free,NA,visible,Prepared food and beverage,N,N,Y,Y,6.00,N,N,4,9,Y,4,N,N
